Airport_Code,Timezone,Ocorrencias,Airport_Name
KCWA,US/Central,3,Central Wisconsin Airport
KCWC,US/Central,38,Kickapoo Downtown Airport
KCWF,US/Central,19,Chennault International Airport
KCWI,US/Central,6,Clinton Municipal Airport
KCWV,US/Eastern,3,Claxton Evans County Airport
KCXO,US/Central,13,Conroe-North Houston Regional Airport
KCXP,US/Pacific,56,Carson Airport
KCXY,US/Eastern,349,Capital City Airport
KCYS,US/Mountain,6,Cheyenne Regional Jerry Olson Field
KCZK,US/Pacific,115,Cascade Locks State Airport
KD39,US/Central,31,Sauk Centre Municipal Airport
KD95,US/Eastern,39,Dupont-Lapeer Airport
KDAA,US/Eastern,507,Davison Army Air Field
KDAB,US/Eastern,21,Daytona Beach International Airport
KDAG,US/Pacific,23,Barstow Daggett Airport
KDAL,US/Central,1204,Dallas Love Field
KDAN,US/Eastern,40,Danville Regional Airport
KDAW,US/Eastern,29,Skyhaven Airport
KDAY,US/Eastern,450,James M Cox Dayton International Airport
KDBN,US/Eastern,3,W H 'Bud' Barron Airport
KDBQ,US/Central,3,Dubuque Regional Airport
KDCA,US/Eastern,912,Ronald Reagan Washington National Airport
KDCM,US/Eastern,27,Chester Catawba Regional Airport
KDCU,US/Central,63,Pryor Field Regional Airport
KDCY,US/Eastern,4,Daviess County Airport
KDDC,US/Central,4,Dodge City Regional Airport
KDDH,US/Eastern,15,William H Morse State Airport
KDEC,US/Central,8,Decatur Airport
KDED,US/Eastern,37,Deland Municipal Sidney H Taylor Field
KDEH,US/Central,5,Decorah Municipal Airport
KDEN,US/Mountain,65,Denver International Airport
KDEQ,US/Central,2,J Lynn Helms Sevier County Airport
KDET,US/Eastern,1376,Coleman A. Young Municipal Airport
KDEW,US/Pacific,6,Deer Park Airport
KDFI,US/Eastern,8,Defiance Memorial Airport
KDFW,US/Central,206,Dallas Fort Worth International Airport
KDGW,US/Mountain,2,Converse County Airport
KDHN,US/Central,33,Dothan Regional Airport
KDKB,US/Central,25,DeKalb Taylor Municipal Airport
KDKK,US/Eastern,52,Chautauqua County-Dunkirk Airport
KDLH,US/Central,14,Duluth International Airport
KDLL,US/Central,22,Baraboo Wisconsin Dells Regional Airport
KDLN,US/Mountain,8,Dillon Airport
KDLS,US/Pacific,88,Columbia Gorge Regional Airport
KDLZ,US/Eastern,105,Delaware Municipal Airport
KDMA,US/Mountain,356,Davis Monthan Air Force Base
KDMN,US/Mountain,4,Deming Municipal Airport
KDMO,US/Central,2,Sedalia Memorial Airport
KDMW,US/Eastern,63,Carroll County Regional Jack B Poage Field
KDNL,US/Eastern,166,Daniel Field
KDNN,US/Eastern,20,Dalton Municipal Airport
KDNV,US/Central,9,Vermilion Regional Airport
KDOV,US/Eastern,21,Dover Air Force Base
KDPA,US/Central,1513,Dupage Airport
KDPG,US/Mountain,4,Michael AAF (Dugway Proving Ground) Airport
KDPL,US/Eastern,4,Duplin County Airport
KDRA,US/Pacific,3,Desert Rock Airport
KDRO,US/Mountain,4,Durango La Plata County Airport
KDSM,US/Central,250,Des Moines International Airport
KDSV,US/Eastern,7,Dansville Municipal Airport
KDTL,US/Central,9,Detroit Lakes Airport
KDTN,US/Central,94,Shreveport Downtown Airport
KDTO,US/Central,59,Denton Enterprise Airport
KDTS,US/Central,21,Destin Executive Airport
KDTW,US/Eastern,295,Detroit Metropolitan Wayne County Airport
KDUH,US/Eastern,89,Toledo Suburban Airport
KDUJ,US/Eastern,87,DuBois Regional Airport
KDVN,US/Central,25,Davenport Municipal Airport
KDVO,US/Pacific,157,Marin County Airport - Gnoss Field
KDVP,US/Central,5,Slayton Municipal Airport
KDVT,US/Mountain,257,Phoenix Deer Valley Airport
KDWH,US/Central,122,David Wayne Hooks Memorial Airport
KDXR,US/Eastern,353,Danbury Municipal Airport
KDYA,US/Central,6,Demopolis Municipal Airport
KDYB,US/Eastern,147,Summerville Airport
KDYL,US/Eastern,50,Doylestown Airport
KDYR,US/Central,4,Dyersburg Regional Airport
KDYT,US/Central,14,Sky Harbor Airport
KDZJ,US/Eastern,10,Blairsville Airport
KE11,US/Central,2,Andrews County Airport
KE16,US/Pacific,89,San Martin Airport
KE33,US/Mountain,2,
KEAT,US/Pacific,6,Pangborn Memorial Airport
KEAU,US/Central,28,Chippewa Valley Regional Airport
KEBS,US/Central,5,Webster City Municipal Airport
KECP,US/Eastern,20,Northwest Florida Beaches International Airport
KEDC,US/Central,192,Austin Executive Airport
KEDJ,US/Eastern,13,Bellefontaine Regional Airport
KEDU,US/Pacific,116,University Airport
KEDW,US/Pacific,2,Edwards Air Force Base
KEED,US/Pacific,9,Needles Airport
KEEN,US/Eastern,22,Dillant Hopkins Airport
KEEO,US/Mountain,2,Meeker Airport
KEET,US/Central,113,Shelby County Airport
KEFD,US/Central,70,Ellington Airport
KEFK,US/Eastern,2,Northeast Kingdom International Airport
KEFT,US/Central,5,Monroe Municipal Airport
KEGE,US/Mountain,25,Eagle County Regional Airport
KEHO,US/Eastern,127,Shelby-Cleveland County Regional Airport
KEHY,US/Mountain,2,
KEIK,US/Mountain,50,Erie Municipal Airport
KEKA,US/Pacific,41,Murray Field
KEKM,US/Eastern,8,Elkhart Municipal Airport
KEKO,US/Pacific,14,Elko Regional Airport
KELD,US/Central,3,South Arkansas Regional Airport at Goodwin Field
KELM,US/Eastern,38,Elmira Corning Regional Airport
KELN,US/Pacific,4,Bowers Field
KELO,US/Central,4,Ely Municipal Airport
KELP,US/Mountain,222,El Paso International Airport
KELY,US/Pacific,9,Ely Airport Yelland Field
KELZ,US/Eastern,9,Wellsville Municipal Airport - Tarantine Field
